trial_id,population_size,score_size,catalog_size,fresh_probe_size,alpha,epsilon,gamma,score_delta,catalog_delta,fresh_delta,harmful,reused_score_accepted,fresh_probe_accepted,reused_score_escape,fresh_probe_escape
0,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.23538011695906433,0.1903470715835141,1,1,0,1,0
1,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.24057829759584146,0.2662689804772234,1,1,0,1,0
2,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.25097465886939574,0.25976138828633405,1,1,0,1,0
3,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.2555230669265757,0.2532537960954447,1,1,0,1,0
4,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.24512670565302144,0.2098698481561822,1,1,0,1,0
5,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.24187784275503574,0.2445770065075922,1,1,0,1,0
6,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.25877192982456143,0.2445770065075922,1,1,0,1,0
7,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.25227420402859,0.26843817787418656,1,1,0,1,0
8,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.22823261858349578,0.2727765726681128,1,1,0,1,0
9,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.2581221572449643,0.26409978308026033,1,1,0,1,0
10,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.2334307992202729,0.19902386117136658,1,1,0,1,0
11,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.24642625081221572,0.2077006507592191,1,1,0,1,0
12,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.2490253411306043,0.2359002169197397,1,1,0,1,0
13,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.23992852501624432,0.2706073752711497,1,1,0,1,0
14,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.2711176088369071,0.2619305856832972,1,1,0,1,0
15,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.2379792072774529,0.24023861171366595,1,1,0,1,0
16,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.21978557504873295,0.2380694143167028,1,1,0,1,0
17,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.21978557504873295,0.21637744034707157,1,1,0,1,0
18,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.24187784275503574,0.24023861171366595,1,1,0,1,0
19,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.24317738791423002,0.2554229934924078,1,1,0,1,0
20,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.23602988953866147,0.22071583514099782,1,1,0,1,0
21,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.23862897985705003,0.27711496746203906,1,1,0,1,0
22,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.27631578947368424,0.2272234273318872,1,1,0,1,0
23,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.24772579597141,0.2272234273318872,1,1,0,1,0
24,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.24967511371020143,0.2445770065075922,1,1,0,1,0
25,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.2444769330734243,0.2380694143167028,1,1,0,1,0
26,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.2626705653021443,0.2749457700650759,1,1,0,1,0
27,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.23213125406107862,0.21637744034707157,1,1,0,1,0
28,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.25292397660818716,0.24023861171366595,1,1,0,1,0
29,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.24577647823261858,0.21203904555314534,1,1,0,1,0
30,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.25227420402859,0.2662689804772234,1,1,0,1,0
31,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.22953216374269006,0.22939262472885033,1,1,0,1,0
32,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.22758284600389864,0.20119305856832972,1,1,0,1,0
33,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.25942170240415857,0.26409978308026033,1,1,0,1,0
34,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.26851851851851855,0.26843817787418656,1,1,0,1,0
35,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.25097465886939574,0.23373101952277658,1,1,0,1,0
36,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.22303443794671865,0.22939262472885033,1,1,0,1,0
37,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.2535737491877843,0.2749457700650759,1,1,0,1,0
38,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.23992852501624432,0.22939262472885033,1,1,0,1,0
39,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.25422352176738144,0.2901301518438178,1,1,0,1,0
40,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.2698180636777128,0.2857917570498915,1,1,0,1,0
41,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.2334307992202729,0.20336225596529284,1,1,0,1,0
42,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.23148148148148148,0.21420824295010846,1,1,0,1,0
43,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.24967511371020143,0.22288503253796096,1,1,0,1,0
44,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.2412280701754386,0.2575921908893709,1,1,0,1,0
45,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.26526965562053284,0.2380694143167028,1,1,0,1,0
46,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.25747238466536715,0.28362255965292843,1,1,0,1,0
47,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.25292397660818716,0.2619305856832972,1,1,0,1,0
48,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.26072124756335285,0.2727765726681128,1,1,0,1,0
49,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.24577647823261858,0.26843817787418656,1,1,0,1,0
50,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.23862897985705003,0.22939262472885033,1,1,0,1,0
51,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.2711176088369071,0.25976138828633405,1,1,0,1,0
52,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.24967511371020143,0.2554229934924078,1,1,0,1,0
53,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.24967511371020143,0.2532537960954447,1,1,0,1,0
54,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.2665692007797271,0.27711496746203906,1,1,0,1,0
55,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.25747238466536715,0.2988069414316703,1,1,0,1,0
56,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.23538011695906433,0.2532537960954447,1,1,0,1,0
57,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.24057829759584146,0.26843817787418656,1,1,0,1,0
58,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.26137102014295,0.23373101952277658,1,1,0,1,0
59,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.2301819363222872,0.22071583514099782,1,1,0,1,0
60,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.26526965562053284,0.2749457700650759,1,1,0,1,0
61,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.26202079272254714,0.23156182212581344,1,1,0,1,0
62,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.2236842105263158,0.19902386117136658,1,1,0,1,0
63,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.23927875243664717,0.23373101952277658,1,1,0,1,0
64,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.2301819363222872,0.22939262472885033,1,1,0,1,0
65,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.2665692007797271,0.2575921908893709,1,1,0,1,0
66,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.25422352176738144,0.24891540130151843,1,1,0,1,0
67,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.25422352176738144,0.2749457700650759,1,1,0,1,0
68,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.24512670565302144,0.2554229934924078,1,1,0,1,0
69,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.24577647823261858,0.2727765726681128,1,1,0,1,0
70,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.25877192982456143,0.2554229934924078,1,1,0,1,0
71,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.2633203378817414,0.29229934924078094,1,1,0,1,0
72,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.26591942820013,0.24674620390455532,1,1,0,1,0
73,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.24057829759584146,0.2272234273318872,1,1,0,1,0
74,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.2516244314489929,0.27928416485900215,1,1,0,1,0
75,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.24772579597141,0.2575921908893709,1,1,0,1,0
76,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.23278102664067576,0.24023861171366595,1,1,0,1,0
77,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.23408057179987005,0.24674620390455532,1,1,0,1,0
78,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.25097465886939574,0.27711496746203906,1,1,0,1,0
79,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.2444769330734243,0.2554229934924078,1,1,0,1,0
80,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.26851851851851855,0.2575921908893709,1,1,0,1,0
81,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.24772579597141,0.2662689804772234,1,1,0,1,0
82,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.24772579597141,0.2359002169197397,1,1,0,1,0
83,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.2535737491877843,0.2532537960954447,1,1,0,1,0
84,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.24837556855100715,0.2359002169197397,1,1,0,1,0
85,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.2626705653021443,0.31182212581344904,1,1,0,1,0
86,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.22433398310591293,0.21637744034707157,1,1,0,1,0
87,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.2646198830409357,0.22505422993492408,1,1,0,1,0
88,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.24707602339181287,0.22288503253796096,1,1,0,1,0
89,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.22433398310591293,0.16648590021691975,1,1,0,1,0
90,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.2548732943469786,0.27928416485900215,1,1,0,1,0
91,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.24382716049382716,0.21637744034707157,1,1,0,1,0
92,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.25877192982456143,0.2706073752711497,1,1,0,1,0
93,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.2347303443794672,0.25108459869848154,1,1,0,1,0
94,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.25942170240415857,0.3096529284164859,1,1,0,1,0
95,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.26137102014295,0.2727765726681128,1,1,0,1,0
96,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.2490253411306043,0.25108459869848154,1,1,0,1,0
97,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.24057829759584146,0.21203904555314534,1,1,0,1,0
98,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.2379792072774529,0.2272234273318872,1,1,0,1,0
99,2000,461,1539,461,0.1,0.1,0.0,-0.25,0.2581221572449643,0.28796095444685466,1,1,0,1,0
