method,attack,seeds,accepted_mean,accepted_ci95,operational_harm_mean,operational_harm_ci95,declared_harm_mean,declared_harm_ci95,harmful_escape_mean,harmful_escape_ci95,declared_harmful_escape_mean,declared_harmful_escape_ci95,false_rejection_mean,false_rejection_ci95,candidate_balanced_accuracy_mean,candidate_balanced_accuracy_ci95,installed_balanced_accuracy_mean,installed_balanced_accuracy_ci95,append_succeeded_mean,append_succeeded_ci95,serving_bytes_verified_mean,serving_bytes_verified_ci95,risk_consumed_mean,risk_consumed_ci95,probe_consumed_mean,probe_consumed_ci95,competing_fixation_blocked_mean,competing_fixation_blocked_ci95,witness_quorum_met_mean,witness_quorum_met_ci95,event_chain_valid_mean,event_chain_valid_ci95,certificate_issue_ms_mean,certificate_issue_ms_ci95,protocol_e2e_ms_mean,protocol_e2e_ms_ci95,beneficial_cases,conditional_false_rejection_rate
CoordinateMedian,model_replacement,20,0.7,0.21897677622897938,0.0,0.16113012549493322,0.0,0.16113012549493322,0.0,0.16113012549493322,0.0,0.16113012549493322,0.1,0.20103820641179335,0.513230019797065,0.013042263147674673,0.5151996272166753,0.013322686744251534,1.0,0.16113012549493333,1.0,0.16113012549493333,1.0,0.16113012549493333,1.0,0.16113012549493333,1.0,0.16113012549493333,1.0,0.16113012549493333,1.0,0.16113012549493333,2075.87182335,51.85923263526559,3993.1261858000007,92.4096146913416,16,0.125
FLShield,model_replacement,20,0.85,0.2104232958869574,0.0,0.16113012549493322,0.0,0.16113012549493322,0.0,0.16113012549493322,0.0,0.16113012549493322,0.0,0.16113012549493322,0.5366322271546735,0.014556926737186008,0.5341558293330144,0.014809581865842187,1.0,0.16113012549493333,1.0,0.16113012549493333,1.0,0.16113012549493333,1.0,0.16113012549493333,1.0,0.16113012549493333,1.0,0.16113012549493333,1.0,0.16113012549493333,2072.43562765,53.499848446354214,3964.6584586999998,103.63448734677408,17,0.0
FLTrust,model_replacement,20,0.45,0.20791799169240027,0.0,0.16113012549493322,0.0,0.16113012549493322,0.0,0.16113012549493322,0.0,0.16113012549493322,0.15,0.21042329588695743,0.5345510495226299,0.016062684372064154,0.5353346625164083,0.0159488195918167,1.0,0.16113012549493333,1.0,0.16113012549493333,1.0,0.16113012549493333,1.0,0.16113012549493333,1.0,0.16113012549493333,1.0,0.16113012549493333,1.0,0.16113012549493333,2077.8478784500003,56.364874986485056,3989.9389142499995,103.08503488495361,11,0.2727272727272727
FedAvg,model_replacement,20,0.0,0.16113012549493322,1.0,0.16113012549493333,0.2,0.21602172202575992,0.0,0.16113012549493322,0.0,0.16113012549493322,0.0,0.16113012549493322,0.4680350865254522,0.0183014835924661,0.539255960100556,0.018018682713170177,1.0,0.16113012549493333,1.0,0.16113012549493333,1.0,0.16113012549493333,1.0,0.16113012549493333,1.0,0.16113012549493333,1.0,0.16113012549493333,1.0,0.16113012549493333,2087.6301067,53.228961177738185,3989.4255271499997,93.87266748810545,0,
FedVal,model_replacement,20,0.0,0.16113012549493322,0.0,0.16113012549493322,0.0,0.16113012549493322,0.0,0.16113012549493322,0.0,0.16113012549493322,0.0,0.16113012549493322,0.5320643193875962,0.01515972814396091,0.539255960100556,0.018018682713170177,1.0,0.16113012549493333,1.0,0.16113012549493333,1.0,0.16113012549493333,1.0,0.16113012549493333,1.0,0.16113012549493333,1.0,0.16113012549493333,1.0,0.16113012549493333,2067.41531955,57.87001305295689,3974.0999101500006,114.4954894657526,0,
Krum,model_replacement,20,0.75,0.21870500995806352,0.0,0.16113012549493322,0.0,0.16113012549493322,0.0,0.16113012549493322,0.0,0.16113012549493322,0.05,0.18613589351256676,0.5463069708673123,0.020139778261869936,0.5388092561951383,0.017620274411151125,1.0,0.16113012549493333,1.0,0.16113012549493333,1.0,0.16113012549493333,1.0,0.16113012549493333,1.0,0.16113012549493333,1.0,0.16113012549493333,1.0,0.16113012549493333,2079.8541121999997,56.41814158777732,3991.3324514499996,100.89506060768429,15,0.06666666666666667
CoordinateMedian,none,20,1.0,0.16113012549493333,0.0,0.16113012549493322,0.0,0.16113012549493322,0.0,0.16113012549493322,0.0,0.16113012549493322,0.0,0.16113012549493322,0.5206771609040483,0.01523389701366957,0.5206771609040483,0.01523389701366957,1.0,0.16113012549493333,1.0,0.16113012549493333,1.0,0.16113012549493333,1.0,0.16113012549493333,1.0,0.16113012549493333,1.0,0.16113012549493333,1.0,0.16113012549493333,2084.99969665,55.288548852416355,3992.6723002499994,101.9258899395073,18,0.0
FLShield,none,20,0.5,0.20070508557018008,0.0,0.16113012549493322,0.0,0.16113012549493322,0.0,0.16113012549493322,0.0,0.16113012549493322,0.05,0.18613589351256676,0.5494283177929383,0.020084966539408663,0.5349915077900933,0.018894340565372085,1.0,0.16113012549493333,1.0,0.16113012549493333,1.0,0.16113012549493333,1.0,0.16113012549493333,1.0,0.16113012549493333,1.0,0.16113012549493333,1.0,0.16113012549493333,2092.2952521,59.43625351894993,3987.6030242499996,112.04031839630059,7,0.14285714285714285
FLTrust,none,20,0.55,0.20791799169240033,0.0,0.16113012549493322,0.0,0.16113012549493322,0.0,0.16113012549493322,0.0,0.16113012549493322,0.15,0.21042329588695743,0.533615892791478,0.01544338792782933,0.5338038064588234,0.015221604186620562,1.0,0.16113012549493333,1.0,0.16113012549493333,1.0,0.16113012549493333,1.0,0.16113012549493333,1.0,0.16113012549493333,1.0,0.16113012549493333,1.0,0.16113012549493333,2073.6942981,53.08217837539723,3989.4011802500004,100.03083721508504,14,0.21428571428571427
FedAvg,none,20,0.8,0.21602172202575998,0.0,0.16113012549493322,0.0,0.16113012549493322,0.0,0.16113012549493322,0.0,0.16113012549493322,0.05,0.18613589351256676,0.5307508968016534,0.015208239601870741,0.5288409868373333,0.015489460093690018,1.0,0.16113012549493333,1.0,0.16113012549493333,1.0,0.16113012549493333,1.0,0.16113012549493333,1.0,0.16113012549493333,1.0,0.16113012549493333,1.0,0.16113012549493333,2092.5445414,50.68490231755647,4830.731700499999,109.89894917995792,16,0.0625
