split,method,attack,seeds,accepted_mean,accepted_min,accepted_max,operational_harm_mean,operational_harm_min,operational_harm_max,declared_harm_mean,declared_harm_min,declared_harm_max,harmful_escape_mean,harmful_escape_min,harmful_escape_max,population_harm_mean,population_harm_min,population_harm_max,population_escape_mean,population_escape_min,population_escape_max,score_gate_accepted_mean,score_gate_accepted_min,score_gate_accepted_max,score_gate_escape_mean,score_gate_escape_min,score_gate_escape_max,score_gate_population_escape_mean,score_gate_population_escape_min,score_gate_population_escape_max,declared_harmful_escape_mean,declared_harmful_escape_min,declared_harmful_escape_max,false_rejection_mean,false_rejection_min,false_rejection_max,candidate_balanced_accuracy_mean,candidate_balanced_accuracy_min,candidate_balanced_accuracy_max,installed_balanced_accuracy_mean,installed_balanced_accuracy_min,installed_balanced_accuracy_max,paired_accuracy_gain_mean,paired_accuracy_gain_min,paired_accuracy_gain_max,paired_audit_risk_reduction_mean,paired_audit_risk_reduction_min,paired_audit_risk_reduction_max,append_succeeded_mean,append_succeeded_min,append_succeeded_max,serving_bytes_verified_mean,serving_bytes_verified_min,serving_bytes_verified_max,risk_consumed_mean,risk_consumed_min,risk_consumed_max,probe_consumed_mean,probe_consumed_min,probe_consumed_max,competing_fixation_blocked_mean,competing_fixation_blocked_min,competing_fixation_blocked_max,eligible_subset_blocked_mean,eligible_subset_blocked_min,eligible_subset_blocked_max,witness_quorum_met_mean,witness_quorum_met_min,witness_quorum_met_max,event_chain_valid_mean,event_chain_valid_min,event_chain_valid_max,certificate_issue_ms_mean,certificate_issue_ms_min,certificate_issue_ms_max,protocol_e2e_ms_mean,protocol_e2e_ms_min,protocol_e2e_ms_max,certificate_issue_ms_p50,certificate_issue_ms_p95,protocol_e2e_ms_p50,protocol_e2e_ms_p95,beneficial_cases,conditional_false_rejection_rate
blocked,CoordinateMedian,model_replacement,20,0.7,0.0,1.0,0.05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5087051282051283,0.4945299145299145,0.5752136752136752,0.509457264957265,0.4976923076923077,0.5752136752136752,0.0007521367521367351,-0.0114529914529915,0.0218803418803418,0.0108993359942475,0.0,0.07245821933765,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2319.25961215,2156.103776,2621.679537,4624.3226352,4344.543785,4935.979911,2314.007615,2459.1767397999997,4612.299043999999,4934.5941764,14,0.0
blocked,FLShield,model_replacement,20,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5228119658119658,0.4961538461538461,0.594017094017094,0.5146666666666666,0.4953846153846153,0.594017094017094,-0.008145299145299139,-0.0518803418803419,0.0038461538461538,0.0109103424568525,0.0,0.03771531866925,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2290.2408614499996,2127.752329,2383.822881,4581.99981925,4300.477817,4842.367615,2305.987098,2379.23442565,4578.9337555,4807.76998205,8,0.0
blocked,FLTrust,model_replacement,20,0.0,0.0,0.0,1.0,1.0,1.0,0.7,0.0,1.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5011153846153846,0.5,0.5115384615384615,0.5257478632478633,0.4953846153846153,0.6767521367521367,0.024632478632478652,-0.0115384615384614,0.1767521367521367,0.353848564787125,0.3006363245078,0.3919488573079,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2325.59549635,2092.070657,2592.113727,4620.1743821,4314.539024,5165.164785,2323.4564035000003,2521.12921685,4569.756235999999,4947.72240955,0,
blocked,FedAvg,model_replacement,20,0.1,0.0,1.0,0.85,0.0,1.0,0.2,0.0,1.0,0.0,0.0,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48272222222222216,0.3317094017094017,0.5053846153846154,0.5127008547008548,0.4652136752136752,0.6132478632478633,0.029978632478632465,-0.0053846153846153,0.1862393162393162,0.2391728224483725,0.0,0.5551792664099,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2301.1878810499998,2051.831465,2444.052997,4579.363551100001,4288.243872,4880.904184,2305.135327,2432.9279982499997,4563.817862,4846.8013329000005,2,0.0
blocked,FedVal,model_replacement,20,0.15,0.0,1.0,0.55,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49756837606837595,0.4603418803418803,0.5711111111111111,0.5150726495726496,0.4953846153846153,0.6132478632478633,0.017504273504273492,-0.0711111111111111,0.09,0.06290962653580749,0.0,0.19696473475685,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2231.1732939500002,1930.657574,2462.608676,4507.131205600001,4214.955734,4686.54135,2236.9712025,2409.4800381,4507.5691465,4680.01553305,3,0.0
blocked,FoundationFL,model_replacement,20,0.4,0.0,1.0,0.55,0.0,1.0,0.15,0.0,1.0,0.0,0.0,0.0,0.15,0.0,1.0,0.0,0.0,0.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47140598290598296,0.3574358974358974,0.5091452991452992,0.49889743589743596,0.4548717948717948,0.5251282051282051,0.027491452991452968,-0.0015384615384614,0.1566666666666667,0.16017544177688497,0.0,0.76247286871135,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2342.4519439,2199.635481,2496.681377,4641.95318525,4416.163731,4910.959614,2331.6048035,2485.3527295999997,4625.0229805,4854.076526700001,8,0.0
blocked,Krum,model_replacement,20,0.45,0.0,1.0,0.15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5253418803418803,0.5,0.6158119658119658,0.5132435897435897,0.4953846153846153,0.5682905982905982,-0.012098290598290585,-0.1181196581196581,0.001965811965812,0.0156928520273525,0.0,0.0904501191208,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2290.07962055,2001.928481,2450.152281,4569.9625501,4206.572688,4935.892706,2309.3923219999997,2436.0578634500002,4532.488816499999,4858.0025366,9,0.0
blocked,CoordinateMedian,none,20,0.5,0.0,1.0,0.05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5127564102564102,0.4976923076923077,0.558034188034188,0.5162564102564102,0.4976923076923077,0.6767521367521367,0.0035000000000000044,-0.0329059829059829,0.1425641025641025,0.0083076599036875,0.0,0.0533818407659,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2269.3653609999997,2041.870305,2441.588741,4556.44706665,4302.3957,4899.175888,2266.0586275,2399.7787299,4509.1870954999995,4740.6897373500005,10,0.0
blocked,FLShield,none,20,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5008547008547009,0.4976923076923077,0.5240170940170941,0.5008547008547009,0.4976923076923077,0.5240170940170941,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2321.0987039500005,2101.451859,2485.157634,4597.3947772500005,4307.215415,4849.959048,2312.4541314999997,2464.8270003499997,4601.400087,4790.91973525,20,0.0
blocked,FLTrust,none,20,0.0,0.0,0.0,1.0,1.0,1.0,0.8,0.0,1.0,0.0,0.0,0.0,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5006538461538461,0.5,0.5061538461538462,0.5257478632478633,0.4953846153846153,0.6767521367521367,0.025094017094017117,-0.0061538461538461,0.1767521367521367,0.373667374564965,0.313746902827,0.416454762603,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2348.74178575,2182.670864,2495.862954,4660.447423850001,4417.814205,4982.282892,2329.0256504999998,2472.7084178,4663.6986785,4898.478443450001,0,
blocked,FedAvg,none,20,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5162863247863247,0.4953846153846153,0.5724786324786325,0.5130555555555556,0.4953846153846153,0.5724786324786325,-0.0032307692307692254,-0.0233333333333333,0.0164957264957265,0.00938566189778,0.0,0.040473138516,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2331.1671468,2180.595551,2488.665406,5517.072817950001,5108.178345,5841.496362,2325.5237555,2469.8185441,5482.978079500001,5838.7370148,8,0.0
blocked,FedVal,none,20,0.2,0.0,1.0,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.531457264957265,0.4992307692307692,0.5647008547008547,0.522474358974359,0.4953846153846153,0.6767521367521367,-0.008982905982905959,-0.0467521367521367,0.1571794871794871,0.038886267448342504,0.0,0.07579336103815,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2257.8722993,2002.569391,2445.709062,4545.32403365,4204.288763,4893.581922,2269.702733,2408.0735351999997,4525.1190945,4735.094540149999,4,0.0
blocked,FoundationFL,none,20,0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5126367521367521,0.4953846153846153,0.6891452991452991,0.5125042735042735,0.4953846153846153,0.6891452991452991,-0.00013247863247863498,-0.0057264957264956,0.0023076923076922,0.0031062100188625,0.0,0.02660761021265,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2257.3904734499997,1984.796221,2376.118439,4528.171505050001,4288.819832,4731.89421,2267.7872885,2365.9230485000003,4521.6435415,4730.52517925,15,0.0
blocked,Krum,none,20,0.45,0.0,1.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5188888888888888,0.4937606837606837,0.6158119658119658,0.5214316239316239,0.4946153846153846,0.6767521367521367,0.0025427350427350347,-0.1181196581196581,0.1723931623931623,0.030617372201394998,0.0,0.1157178033579,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2274.3556102499997,2030.216524,2505.734674,4560.7423119,4258.205309,4841.562338,2284.682552,2403.0796443,4596.042733,4778.56133145,9,0.0
blocked,FLTrust,score_aware,20,0.0,0.0,0.0,1.0,1.0,1.0,0.35,0.0,1.0,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5011153846153847,0.5,0.5069230769230769,0.5257478632478633,0.4953846153846153,0.6767521367521367,0.02463247863247866,-0.0069230769230769,0.1767521367521367,0.32815798439539245,0.26365437210665,0.38336038429875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2333.3386041999993,2077.650759,2438.239629,4609.11848055,4358.390095,4974.40426,2341.3423810000004,2432.8179999,4601.6351025,4845.184549400001,0,
blocked,FedAvg,score_aware,20,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5009957264957265,0.4267521367521367,0.6132478632478633,0.5009957264957265,0.4267521367521367,0.6132478632478633,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2311.05405435,1932.467246,2495.332429,4610.644108049999,4232.423693,4839.844744,2311.299212,2485.007772,4636.0870165,4787.1972402500005,20,0.0
blocked,FoundationFL,score_aware,20,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5012350427350427,0.4325641025641025,0.563931623931624,0.5012350427350427,0.4325641025641025,0.563931623931624,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2279.0829224000004,2003.687258,2480.447414,4551.6382026500005,4212.416968,4850.005157,2280.5158865000003,2460.2817944,4557.4000165,4770.65407285,20,0.0
blocked,CoordinateMedian,sign_flip,20,0.55,0.0,1.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.517076923076923,0.4946153846153846,0.5801709401709402,0.5095384615384616,0.4953846153846153,0.5706837606837607,-0.00753846153846153,-0.0694871794871795,0.0053846153846153,0.01876058224051,0.0,0.1339847101705,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2326.3304172,2169.096856,2586.935534,4615.6416414,4424.399966,5180.450331,2321.6168565,2464.9104565000002,4568.977648,4958.50916975,11,0.0
blocked,FLShield,sign_flip,20,0.6,0.0,1.0,0.05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5144786324786325,0.4984615384615384,0.6067521367521368,0.5127051282051281,0.4953846153846153,0.6067521367521368,-0.0017735042735042752,-0.0225641025641026,0.0076923076923076,0.0072504330960550005,0.0,0.05081344226055,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2284.36735545,2048.531451,2433.453704,4573.33971305,4307.224324,4835.80262,2282.608027,2404.34554535,4567.658223,4793.1889811,12,0.0
blocked,FLTrust,sign_flip,20,0.0,0.0,0.0,1.0,1.0,1.0,0.75,0.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5005000000000001,0.5,0.5023076923076923,0.5257478632478633,0.4953846153846153,0.6767521367521367,0.02524786324786326,-0.0053846153846153,0.1767521367521367,0.37434333955184745,0.30623535934635,0.41696141559495,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2332.6175086,2089.988036,2468.335673,4657.137430899999,4318.07315,4988.128583,2353.2382205000004,2455.2751375999997,4623.575005000001,4928.61885495,0,
blocked,FedAvg,sign_flip,20,0.5,0.0,1.0,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5196923076923078,0.4976923076923077,0.7002564102564102,0.5149358974358975,0.4953846153846153,0.7002564102564102,-0.004756410256410255,-0.0405128205128205,0.0397435897435898,0.0445518077004175,0.0,0.2004302102384,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2307.6043720499997,2066.577166,2446.636857,4619.260619500001,4324.186486,5129.296383,2321.360956,2432.9775280500003,4604.1891915,4835.53535285,10,0.0
blocked,FedVal,sign_flip,20,0.25,0.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5447991452991454,0.4953846153846153,0.6305982905982905,0.5202692307692309,0.4953846153846153,0.6767521367521367,-0.024529914529914494,-0.1305982905982905,0.098119658119658,0.044674058463112495,0.0,0.1216099375821,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2232.4375239,2000.695912,2412.135255,4478.9871897,4225.202063,4678.105795,2238.525109,2390.77235135,4475.7909205,4639.27068705,5,0.0
