split,method,attack,seeds,accepted_mean,accepted_min,accepted_max,operational_harm_mean,operational_harm_min,operational_harm_max,declared_harm_mean,declared_harm_min,declared_harm_max,harmful_escape_mean,harmful_escape_min,harmful_escape_max,population_harm_mean,population_harm_min,population_harm_max,population_escape_mean,population_escape_min,population_escape_max,score_gate_accepted_mean,score_gate_accepted_min,score_gate_accepted_max,score_gate_escape_mean,score_gate_escape_min,score_gate_escape_max,score_gate_population_escape_mean,score_gate_population_escape_min,score_gate_population_escape_max,declared_harmful_escape_mean,declared_harmful_escape_min,declared_harmful_escape_max,false_rejection_mean,false_rejection_min,false_rejection_max,candidate_balanced_accuracy_mean,candidate_balanced_accuracy_min,candidate_balanced_accuracy_max,installed_balanced_accuracy_mean,installed_balanced_accuracy_min,installed_balanced_accuracy_max,paired_accuracy_gain_mean,paired_accuracy_gain_min,paired_accuracy_gain_max,paired_audit_risk_reduction_mean,paired_audit_risk_reduction_min,paired_audit_risk_reduction_max,append_succeeded_mean,append_succeeded_min,append_succeeded_max,serving_bytes_verified_mean,serving_bytes_verified_min,serving_bytes_verified_max,risk_consumed_mean,risk_consumed_min,risk_consumed_max,probe_consumed_mean,probe_consumed_min,probe_consumed_max,competing_fixation_blocked_mean,competing_fixation_blocked_min,competing_fixation_blocked_max,eligible_subset_blocked_mean,eligible_subset_blocked_min,eligible_subset_blocked_max,witness_quorum_met_mean,witness_quorum_met_min,witness_quorum_met_max,event_chain_valid_mean,event_chain_valid_min,event_chain_valid_max,certificate_issue_ms_mean,certificate_issue_ms_min,certificate_issue_ms_max,protocol_e2e_ms_mean,protocol_e2e_ms_min,protocol_e2e_ms_max,certificate_issue_ms_p50,certificate_issue_ms_p95,protocol_e2e_ms_p50,protocol_e2e_ms_p95,beneficial_cases,conditional_false_rejection_rate
random,CoordinateMedian,model_replacement,20,0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,0.5140087369595583,0.4697712418300653,0.6085387410389865,0.5139154724686926,0.4697712418300653,0.6085387410389865,-9.326449086556471e-05,-0.0344352617079889,0.0519733185102835,-0.00028912881791,-0.01030945768005,0.0046517977113,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2115.9630699,1888.914826,2351.904061,4250.28268235,3838.191153,4807.563111,2126.1557885,2305.9337253500003,4233.323193,4744.73922435,15,0.13333333333333333
random,FLShield,model_replacement,20,0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,1.0,0.5379946963349523,0.4840915004849431,0.6919934640522876,0.5362651341560865,0.4836065573770491,0.6919934640522876,-0.0017295621788657848,-0.0303030303030302,0.0098743267504487,0.00042920529838499997,-0.00382226844545,0.00745686291815,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2118.4153455500004,1910.534939,2325.317797,4283.4321292,3911.878257,4657.177147,2111.549253,2303.83189305,4253.1426135,4629.43341825,13,0.07692307692307693
random,FLTrust,model_replacement,20,0.15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,0.5332105083962266,0.4691185834268215,0.8202614379084967,0.5329622813349931,0.4691185834268215,0.6944444444444444,-0.00024822706123342475,-0.1258169934640522,0.0811563580484057,0.010427067225774998,-0.00721872381985,0.0304176831228,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2115.258755,1852.415778,2387.230245,4285.3710841,3883.265523,4735.320669,2109.749052,2378.04854535,4258.689528,4717.902629900001,4,0.5
random,FedAvg,model_replacement,20,0.0,0.0,0.0,1.0,1.0,1.0,0.1,0.0,1.0,0.0,0.0,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45124686295996747,0.3080065359477124,0.5156482861400894,0.5420591595272798,0.4836065573770491,0.6944444444444444,0.09081229656731234,-0.0320417287630402,0.386437908496732,0.285794529005415,0.1830759144041,0.38939405836805,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2133.2761710000004,1875.064843,2464.740791,4289.839034399999,3862.125616,4884.740763,2124.0665099999997,2384.91553335,4271.979337,4725.46931955,0,
random,FedVal,model_replacement,20,0.0,0.0,0.0,0.65,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4770804032191519,0.2009803921568627,0.5507441091360066,0.5420591595272798,0.4836065573770491,0.6944444444444444,0.06497875630812784,-0.0194731738849386,0.4934640522875816,0.072051826483055,0.0217488371582,0.1544957442171,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2061.0783222,1825.201537,2412.964666,4215.96237915,3764.160251,4788.718006,2049.1448505,2269.3748906,4196.7740675000005,4593.29743425,0,
random,FoundationFL,model_replacement,20,0.0,0.0,0.0,0.85,0.0,1.0,0.7,0.0,1.0,0.0,0.0,0.0,0.75,0.0,1.0,0.0,0.0,0.0,0.05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4431559092964668,0.1732026143790849,0.5976873220072669,0.5420591595272798,0.4836065573770491,0.6944444444444444,0.09890325023081288,-0.0533186033665725,0.5212418300653594,0.40477496036935995,0.0028331284892,0.6200809141822,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2133.34095285,1860.623315,2681.949424,4280.4699144999995,3836.379357,5002.616616,2087.219895,2347.2568126,4247.3215995,4672.342029,0,
random,Krum,model_replacement,20,0.65,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,1.0,0.5539492653264448,0.4843517138599106,0.6952614379084967,0.5474204805767202,0.4843517138599106,0.6952614379084967,-0.00652878474972451,-0.121360073564829,0.0139939114209958,0.001041992545415,-0.00193699431605,0.00841015466995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2114.6377348000005,1959.656129,2431.620648,4273.37018225,3934.827504,4606.094449,2097.741371,2336.3782042000003,4277.3744385,4585.104218949999,13,0.07692307692307693
random,CoordinateMedian,none,20,0.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,1.0,0.5337945806734574,0.4836065573770491,0.6936274509803921,0.5319863411107696,0.4836065573770491,0.6936274509803921,-0.00180823956268786,-0.0204360086110183,0.0097210666900204,0.00042518343676249996,-0.00343549428335,0.00649431036285,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2089.9105441499996,1853.638837,2336.469722,4252.8796329,3832.033821,4648.903286,2094.5800645,2275.0944713500003,4231.927368500001,4564.48063825,16,0.0625
random,FLShield,none,20,0.55,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5617989713102572,0.4821162444113264,0.8464052287581699,0.543132251321453,0.4821162444113264,0.6944444444444444,-0.018666719988804058,-0.1519607843137255,0.0044005929219936,0.0026928213475850005,0.0,0.01128620723875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2126.34310535,1922.615017,2444.405664,4271.6484766,3845.234011,4763.10782,2156.1496525000002,2289.9787161,4266.8653705,4623.99489965,6,0.0
random,FLTrust,none,20,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,1.0,0.5323327601648081,0.4817990097194204,0.8357843137254901,0.526145408241821,0.4836065573770491,0.6944444444444444,-0.006187351922987061,-0.1413398692810457,0.0849673202614379,0.0075954730995425,-0.01187909856005,0.0400584405113,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2146.48076715,1891.510089,2390.227573,4307.5344731000005,3844.238346,4809.068374,2138.4725325,2336.1907256,4297.044304999999,4655.3258973,7,0.42857142857142855
